Id,Term,Location Capacity,Name,Building Number,Room Number
005-0302,2224 ,16,005 Architecture & Environmental Design,005,0302
005-0303,2182 ,16,005 Architecture & Environmental Design,005,0303
005-0303,2184 ,16,005 Architecture & Environmental Design,005,0303
005-0303,2188 ,16,005 Architecture & Environmental Design,005,0303
005-0303,2192 ,16,005 Architecture & Environmental Design,005,0303
005-0303,2194 ,16,005 Architecture & Environmental Design,005,0303
005-0303,2198 ,16,005 Architecture & Environmental Design,005,0303
005-0303,2202 ,16,005 Architecture & Environmental Design,005,0303
005-0303,2218 ,16,005 Architecture & Environmental Design,005,0303
005-0303,2222 ,16,005 Architecture & Environmental Design,005,0303
005-0303,2224 ,16,005 Architecture & Environmental Design,005,0303
005-0304,2182 ,16,005 Architecture & Environmental Design,005,0304
005-0304,2184 ,16,005 Architecture & Environmental Design,005,0304
005-0304,2188 ,16,005 Architecture & Environmental Design,005,0304
005-0304,2192 ,16,005 Architecture & Environmental Design,005,0304
005-0304,2194 ,16,005 Architecture & Environmental Design,005,0304
005-0304,2198 ,16,005 Architecture & Environmental Design,005,0304
005-0304,2202 ,16,005 Architecture & Environmental Design,005,0304
005-0304,2218 ,16,005 Architecture & Environmental Design,005,0304
005-0304,2222 ,16,005 Architecture & Environmental Design,005,0304
005-0304,2224 ,16,005 Architecture & Environmental Design,005,0304
005-0305,2182 ,16,005 Architecture & Environmental Design,005,0305
005-0305,2184 ,16,005 Architecture & Environmental Design,005,0305
005-0305,2188 ,16,005 Architecture & Environmental Design,005,0305
005-0305,2192 ,16,005 Architecture & Environmental Design,005,0305
005-0305,2194 ,16,005 Architecture & Environmental Design,005,0305
005-0305,2198 ,16,005 Architecture & Environmental Design,005,0305
